Kanton,Verbrauchsprofile typischer Haushalte,Periode,Produkt,Total exkl. MWST (Rp./kWH),Netznutzung (Rp./kWH),Energielieferungkosten (Rp./kWH),Abgaben an das Gemeinwesen (Rp./kWH),Förderabgaben (KEV) (Rp./kWH)
St. Gallen,H4,2018,Günstigstes Produkt,18.4,8.70333333333333,6.138,0.6,2.3
Wallis,C3,2022,Günstigstes Produkt,17.48916666666667,6.48,7.929166666666666,0.78,2.3
Tessin,H5,2019,Günstigstes Produkt,17.2924,6.68293333333333,6.13946666666667,2.17,2.3
Schwyz,H4,2023,Günstigstes Produkt,24.66155555555556,10.67261904761905,11.231,0.85,2.3
Zug,H4,2019,Günstigstes Produkt,17.64895238095238,8.61561904761905,6.73333333333333,0,2.3
Jura,H4,2021,Günstigstes Produkt,25.23999999999997,12.3533333333333,9.08666666666667,1.5,2.3
Zug,H4,2018,Günstigstes Produkt,17.92433333333334,8.75266666666667,6.63666666666667,0.235,2.3
Tessin,H4,2021,Günstigstes Produkt,20.54333333333333,8.79333333333333,7.2,2.25,2.3
Genf,C3,2019,Günstigstes Produkt,16.6748,7.0708,7.304,0,2.3
Graubünden,H4,2025,Günstigstes Produkt,28.45666666666667,12.20666666666667,11.95,2,2.3
Jura,H4,2025,Günstigstes Produkt,27.8,13.41333333333333,10.38666666666667,1.7,2.3
St. Gallen,H4,2019,Günstigstes Produkt,18.9933333333333,8.59333333333333,6.614,0.87,2.3
Jura,H5,2022,Günstigstes Produkt,22.26426666666667,9.961333333333334,8.502933333333333,1.5,2.3
Luzern,C2,2024,Günstigstes Produkt,29.81464,11.30644444444444,15.19755555555555,1.01064,2.3
Zug,C3,2020,Günstigstes Produkt,16.78833333333334,7.66166666666667,6.82666666666667,0,2.3
Bern,C3,2021,Günstigstes Produkt,20.966,9.95344444444445,8.51255555555555,0.2,2.3
Uri,C2,2024,Günstigstes Produkt,30.00806666666667,12.36833333333333,14.33973333333333,1,2.3
Bern,C3,2018,Günstigstes Produkt,21.27824999999995,10.2656944444444,8.51255555555555,0.2,2.3
Schaffhausen,H4,2019,Günstigstes Produkt,20.3010634920635,11.6102380952381,6.3908253968254,0,2.3
Schwyz,C2,2022,Günstigstes Produkt,18.90772222222222,8.326333333333332,7.031388888888888,1.24,2.3
Wallis,H4,2019,Günstigstes Produkt,16.62666666666667,7.81711111111111,6.3,0.86,2.3
Tessin,H5,2022,Günstigstes Produkt,18.56866666666667,7.130533333333333,6.948133333333334,2.19,2.3
Appenzell Innerrhoden,C2,2022,Günstigstes Produkt,19.04445,8.268141666666667,8.476308333333334,0,2.3
Waadt,H4,2019,Günstigstes Produkt,21.15349365079361,9.57314285714286,8.33428571428571,0.9,2.3
Appenzell Ausserrhoden,H5,2023,Günstigstes Produkt,23.77721428571429,8.009857142857143,13.46735714285714,0,2.3
Waadt,C3,2021,Günstigstes Produkt,20.99533333333334,8.62946666666667,7.52426666666666,2.6,2.3
Luzern,C3,2020,Günstigstes Produkt,11.69775555555555,7.41844444444444,1.23746666666667,0.741844444444445,2.3
Basel-Landschaft,C3,2024,Günstigstes Produkt,27.9032,13.056,12.2072,0.34,2.3
Basel-Landschaft,C3,2022,Günstigstes Produkt,17.83133333333333,8.146666666666667,6.944666666666667,0.44,2.3
Zürich,C3,2023,Günstigstes Produkt,23.91666666666667,11.58,7.886666666666667,2.15,2.3
Luzern,C3,2024,Günstigstes Produkt,28.70302444444444,10.90577777777778,14.52666666666667,0.97058,2.3
Tessin,H5,2021,Günstigstes Produkt,17.9476,7.15466666666667,6.24293333333333,2.25,2.3
Luzern,H5,2024,Günstigstes Produkt,27.59804,10.2244,14.1712,0.93,2.3
Schaffhausen,C3,2019,Günstigstes Produkt,17.1196,8.852,5.9676,0,2.3
Waadt,C3,2024,Günstigstes Produkt,31.70071388888889,9.290713888888888,18.79,1.32,2.3
Bern,H4,2021,Günstigstes Produkt,24.55460317460319,12.3533333333333,9.08666666666667,1.5,2.3
Schaffhausen,H4,2023,Günstigstes Produkt,24.34178571428571,12.48996031746032,9.551825396825397,0,2.3
Tessin,C2,2025,Günstigstes Produkt,25.29333333333333,10.11333333333333,10.65,2.23,2.3
Appenzell Ausserrhoden,H5,2021,Günstigstes Produkt,17.22578571428571,7.56842857142857,7.35735714285714,0,2.3
Graubünden,H4,2023,Günstigstes Produkt,25.09733333333334,10.19733333333333,10.6,1.57,2.3
Tessin,H4,2025,Günstigstes Produkt,27.18222222222222,12.00222222222222,10.65,2.23,2.3
Appenzell Ausserrhoden,H4,2019,Günstigstes Produkt,17.50333333333333,8.59333333333333,6.61,0,2.3
Zug,C3,2024,Günstigstes Produkt,33.19853777777778,9.93961111111111,20.95892666666667,0,2.3
Zürich,C2,2022,Günstigstes Produkt,19.753,9.4807,7.30063,0.32,2.3
Zürich,H4,2020,Günstigstes Produkt,18.80258730158731,8.95783333333333,7.45402857142857,0.35,2.3
Luzern,C2,2022,Günstigstes Produkt,20.28605555555556,8.456444444444445,8.679611111111111,0.85,2.3
