Bahnhof_Gare_Stazione,Unité,Jahr,Anzahl Bahnhofbenutzer
Bern,DP/jour ouvré,2019,330300
Bern,DP/jour ouvré,2022,275700
Bern,DP/jour,2018,303300
Bern,DP/jour,2023,280600
Lausanne,DP/jour ouvré,2016,148700
Lausanne,DP/jour ouvré,2017,148500
Lausanne,DP/jour,2018,132500
Luzern,DP/jour,2019,166300
Luzern,DP/jour,2020,102700
Luzern,DP/jour,2022,133600
St. Gallen,DP/jour ouvré,2014,77000
St. Gallen,DP/jour ouvré,2015,78500
St. Gallen,DP/jour ouvré,2023,77800
St. Gallen,DP/jour ouvré,2024,77400
St. Gallen,DP/jour,2014,
St. Gallen,DP/jour,2023,72900
Winterthur,DP/jour ouvré,2013,112000
Winterthur,DP/jour ouvré,2019,128200
Winterthur,DP/jour ouvré,2022,121400
Winterthur,DP/jour ouvré,2024,134700
Winterthur,DP/jour,2016,109200
Winterthur,DP/jour,2017,105900
Winterthur,DP/jour,2019,116200
Winterthur,DP/jour,2023,120100
Winterthur,DP/jour,2024,123000
Zug,DP/jour ouvré,2014,62000
Zug,DP/jour ouvré,2015,63600
Zug,DP/jour ouvré,2020,47700
Zug,DP/jour ouvré,2023,59800
Zug,DP/jour ouvré,2024,58900
Zug,DP/jour,2016,60500
Zug,DP/jour,2018,61300
Zug,DP/jour,2023,56300
Aarau,DP/jour ouvré,2014,
Aarau,DP/jour ouvré,2015,70700
Aarau,DP/jour ouvré,2020,56600
Aarau,DP/jour,2014,
Aarau,DP/jour,2020,50200
Baden,DP/jour ouvré,2020,45700
Baden,DP/jour ouvré,2023,58000
Baden,DP/jour,2017,58100
Baden,DP/jour,2018,56400
Baden,DP/jour,2024,52200
Biel/Bienne,DP/jour ouvré,2017,67000
Chur,DP/jour ouvré,2014,
Chur,DP/jour ouvré,2016,37400
Chur,DP/jour ouvré,2017,37700
Chur,DP/jour ouvré,2019,39300
Chur,DP/jour ouvré,2022,36300
Chur,DP/jour,2014,
Chur,DP/jour,2017,35800
Chur,DP/jour,2018,35900
Chur,DP/jour,2020,28000
Chur,DP/jour,2021,29500
Chur,DP/jour,2022,34600
Chur,DP/jour,2024,38400
Fribourg/Freiburg,DP/jour ouvré,2013,
Fribourg/Freiburg,DP/jour,2013,
Fribourg/Freiburg,DP/jour,2015,28200
Genève-Aéroport,DP/jour ouvré,2020,19300
Genève-Aéroport,DP/jour ouvré,2021,19700
Genève-Aéroport,DP/jour,2014,
Genève-Aéroport,DP/jour,2019,46700
Genève-Aéroport,DP/jour,2021,20400
Genève,DP/jour ouvré,2017,166200
Genève,DP/jour,2013,
Genève,DP/jour,2014,
Genève,DP/jour,2015,141700
Genève,DP/jour,2018,160600
Genève,DP/jour,2020,104300
Genève,DP/jour,2023,163400
Neuchâtel,DP/jour ouvré,2013,
Neuchâtel,DP/jour ouvré,2014,
Neuchâtel,DP/jour ouvré,2017,33000
Neuchâtel,DP/jour ouvré,2021,25000
