Jahr,Kanton,Anzahl Bahnhofbenutzer,Generalabonnement,Halbtaxabonnement
2019,BE,330300,209602,836766
2022,BE,275700,176788,891120
2018,BE,303300,208478,805307
2023,BE,280600,181069,933787
2016,VD,148700,55204,322047
2017,VD,148500,54852,341895
2018,VD,132500,55262,351149
2019,LU,166300,62087,361702
2020,LU,102700,55020,364427
2022,LU,133600,53344,398947
2014,SG,77000,49278,290554
2015,SG,78500,51115,291449
2023,SG,77800,51661,390261
2024,SG,77400,47897,414105
2014,SG,0,49278,290554
2023,SG,72900,51661,390261
2013,ZH,112000,134037,808896
2019,ZH,128200,145026,927802
2022,ZH,121400,121981,1018686
2024,ZH,134700,120436,1110621
2016,ZH,109200,135991,819697
2017,ZH,105900,137614,863740
2019,ZH,116200,145026,927802
2023,ZH,120100,126706,1064242
2024,ZH,123000,120436,1110621
2014,ZG,62000,24995,151840
2015,ZG,63600,25596,151072
2020,ZG,47700,26071,181337
2023,ZG,59800,26245,208011
2024,ZG,58900,24831,219511
2016,ZG,60500,27033,156669
2018,ZG,61300,29320,173522
2023,ZG,56300,26245,208011
2014,AG,0,67469,279065
2015,AG,70700,70149,275678
2020,AG,56600,74529,319370
2014,AG,0,67469,279065
2020,AG,50200,74529,319370
2020,AG,45700,74529,319370
2023,AG,58000,75882,368686
2017,AG,58100,77434,297051
2018,AG,56400,81018,303575
2024,AG,52200,72996,391354
2017,BE,67000,207170,789556
2014,GR,0,13325,86422
2016,GR,37400,13815,88315
2017,GR,37700,13820,92902
2019,GR,39300,13870,99802
2022,GR,36300,12381,106474
2014,GR,0,13325,86422
2017,GR,35800,13820,92902
2018,GR,35900,14080,95112
2020,GR,28000,12778,99310
2021,GR,29500,12000,101851
2022,GR,34600,12381,106474
2024,GR,38400,12020,119423
2013,FR,0,35795,150799
2013,FR,0,35795,150799
2015,FR,28200,38980,153883
2020,GE,19300,10072,149591
2021,GE,19700,10531,158090
2014,GE,0,11453,126376
2019,GE,46700,12325,149615
2021,GE,20400,10531,158090
2017,GE,166200,11935,137868
2013,GE,0,10920,126858
2014,GE,0,11453,126376
2015,GE,141700,11734,122811
2018,GE,160600,12125,141734
2020,GE,104300,10072,149591
2023,GE,163400,11985,183877
2013,NE,0,12439,67726
2014,NE,0,12847,67933
2017,NE,33000,14410,74460
2021,NE,25000,12631,79903
2020,NE,21900,13085,78046
2018,SO,76400,52713,176704
2023,SO,68800,48001,204691
2017,SO,65900,51548,172638
2024,SO,62900,46157,216905
2018,BE,48700,208478,805307
2021,BE,30700,171452,861455
2023,BE,40500,181069,933787
2020,ZH,0,126787,936077
2021,ZH,42700,117271,981018
2023,ZH,67100,126706,1064242
2013,ZH,0,134037,808896
2016,ZH,49200,135991,819697
2018,ZH,50700,142157,887154
2020,ZH,0,126787,936077
2015,ZH,20800,134166,801535
2016,ZH,23200,135991,819697
2018,ZH,24800,142157,887154
2019,ZH,25300,145026,927802
2015,ZH,18000,134166,801535
2016,ZH,20200,135991,819697
2018,ZH,21400,142157,887154
2022,ZH,19100,121981,1018686
2019,ZH,55100,145026,927802
2015,ZH,37000,134166,801535
2017,ZH,0,137614,863740
2019,ZH,47100,145026,927802
2022,ZH,38700,121981,1018686
2019,ZH,99500,145026,927802
2020,ZH,67900,126787,936077
2021,ZH,68100,117271,981018
2017,ZH,88000,137614,863740
2021,ZH,61000,117271,981018
2017,TI,13600,7095,82758
2022,TI,13600,8916,112062
2018,TI,25500,7560,88274
2022,TI,27200,8916,112062
2018,TI,23300,7560,88274
2023,TI,28100,9311,125292
2016,ZH,0,135991,819697
2022,ZH,104300,121981,1018686
2015,ZH,0,134166,801535
2020,ZH,22300,126787,936077
2023,ZH,27500,126706,1064242
2016,ZH,0,135991,819697
2019,ZH,26000,145026,927802
2015,GE,0,11734,122811
2018,GE,0,12125,141734
2016,GE,0,12030,128390
2019,GE,0,12325,149615
2022,GE,10100,11101,170035
2016,ZH,439000,135991,819697
2017,ZH,437700,137614,863740
2023,ZH,389600,126706,1064242
2016,BE,318000,204325,753175
2016,BE,0,204325,753175
2020,BE,227600,184258,837317
