Code_Codice,UIC,Bahnhof_Gare_Stazione,Kt_Ct_Cantone,ISB_GI,Jahr_Annee_Anno,DTV_TJM_TGM,DWV_TMJO_TFM,DNWV_TMJNO_TMGNL,EVU_EF_ITF,Bemerkung,Bemerkungen,Note,Bemerkungen,Geoposition,lod
AA,8502113,Aarau,AG,SBB,2023,37700,43400,24700,"SBB, SOB",Ohne AVA.,Sans AVA.,Senza AVA.,Without AVA.,"47.39135951416977, 8.051273718700699",http://lod.opentransportdata.swiss/didok/didok85
AAT,8503124,Aathal,ZH,SBB,2022,690,750,570,SBB,,,,,"47.3359591338364, 8.765625135347072",http://lod.opentransportdata.swiss/didok/didok85
ABE,8504404,Aarberg,BE,SBB,2018,620,690,470,BLS,,,,,"47.04454127724739, 7.278692565659158",http://lod.opentransportdata.swiss/didok/didok85
ABO,8502000,Aarburg-Oftringen,AG,SBB,2023,2700,3200,1600,"SBB, SOB",,,,,"47.320268469495055, 7.908222606719322",http://lod.opentransportdata.swiss/didok/didok85
ACLA,8505180,Acla da Fontauna,GR,MGB,2022,140,140,140,MGB,,,,,"46.69717382256163, 8.8457908504282",http://lod.opentransportdata.swiss/didok/didok85
AD,8506013,Aadorf,TG,SBB,2023,1600,1900,1100,"SBB, Thurbo",,,,,"47.48811815646303, 8.903301351691383",http://lod.opentransportdata.swiss/didok/didok85
AE,8500117,Aesch,BL,SBB,2018,2000,2400,1300,SBB,,,,,"47.46774466229042, 7.603068210227584",http://lod.opentransportdata.swiss/didok/didok85
AE,8500117,Aesch BL,BL,SBB,2023,2400,2400,2400,SBB,,,,,"47.46774466229042, 7.603068210227584",http://lod.opentransportdata.swiss/didok/didok85
AF,8502224,Affoltern am Albis,ZH,SBB,2022,6400,7300,4100,SBB,,,,,"47.2760703624343, 8.446594995016907",http://lod.opentransportdata.swiss/didok/didok85
ALD,8508321,Luzern Allmend/Messe,LU,ZB,2023,2400,2200,2700,Zentralbahn,,,,,"47.03506817990225, 8.30323743965895",http://lod.opentransportdata.swiss/didok/didok85
ALL,8501035,Allaman,VD,SBB,2023,5000,5800,2900,SBB,,,,,"46.47575352079991, 6.399697079747334",http://lod.opentransportdata.swiss/didok/didok85
ALT,8506319,Altstätten SG,SG,SBB,2022,2400,2700,1700,"SBB, SOB, Thurbo",,,,,"47.374234807062635, 9.556519883564428",http://lod.opentransportdata.swiss/didok/didok85
ALV,8509194,Alvaneu,GR,RhB,2022,49,49,49,RhB,49: weniger als 50 Ein- und Aussteigende.,49: moins de 50 personnes.,49: meno di 50 persone.,49: fewer than 50 persons.,"46.67124999957915, 9.650729999823161",http://lod.opentransportdata.swiss/didok/didok85
